M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.549136,4.832148
384.000000,384.000000,384.000000,12.098953,12.288000
512.000000,512.000000,512.000000,17.476267,18.724571
640.000000,640.000000,640.000000,23.272727,23.272727
768.000000,768.000000,768.000000,27.648000,28.539871
896.000000,896.000000,896.000000,25.544145,31.930182
1024.000000,1024.000000,1024.000000,27.962025,36.893273
1152.000000,1152.000000,1152.000000,35.547429,36.009605
1280.000000,1280.000000,1280.000000,35.573891,39.766991
1408.000000,1408.000000,1408.000000,35.632523,40.355500
1536.000000,1536.000000,1536.000000,32.920410,40.912649
1664.000000,1664.000000,1664.000000,39.468912,41.910229
1792.000000,1792.000000,1792.000000,37.093808,41.019797
1920.000000,1920.000000,1920.000000,42.275231,42.535384
2048.000000,2048.000000,2048.000000,40.427028,41.956152
2176.000000,2176.000000,2176.000000,33.707953,42.276573
2304.000000,2304.000000,2304.000000,37.797267,42.354384
2432.000000,2432.000000,2432.000000,33.971540,43.089668
2560.000000,2560.000000,2560.000000,42.186033,43.286658
2688.000000,2688.000000,2688.000000,42.007814,42.813833
2816.000000,2816.000000,2816.000000,42.017542,42.717149
2944.000000,2944.000000,2944.000000,42.126822,43.985906
3072.000000,3072.000000,3072.000000,42.350861,42.577262
3200.000000,3200.000000,3200.000000,42.693349,42.838020
3328.000000,3328.000000,3328.000000,40.106571,43.238016
3456.000000,3456.000000,3456.000000,38.563956,43.675135
3584.000000,3584.000000,3584.000000,41.899063,43.145581
3712.000000,3712.000000,3712.000000,40.006947,43.585229
3840.000000,3840.000000,3840.000000,42.749132,43.669907
3968.000000,3968.000000,3968.000000,41.978154,44.420800
4096.000000,4096.000000,4096.000000,41.207424,44.223303
