M,N,K,Triton
256.000000,256.000000,256.000000,4.096000
384.000000,384.000000,384.000000,11.059200
512.000000,512.000000,512.000000,15.307679
640.000000,640.000000,640.000000,19.692308
768.000000,768.000000,768.000000,23.911783
896.000000,896.000000,896.000000,26.508076
1024.000000,1024.000000,1024.000000,32.768000
1152.000000,1152.000000,1152.000000,32.813010
1280.000000,1280.000000,1280.000000,33.573771
1408.000000,1408.000000,1408.000000,34.287899
1536.000000,1536.000000,1536.000000,35.389441
1664.000000,1664.000000,1664.000000,36.730253
1792.000000,1792.000000,1792.000000,38.099742
1920.000000,1920.000000,1920.000000,39.610314
2048.000000,2048.000000,2048.000000,38.043573
2176.000000,2176.000000,2176.000000,39.770054
2304.000000,2304.000000,2304.000000,38.968795
2432.000000,2432.000000,2432.000000,40.716614
2560.000000,2560.000000,2560.000000,40.305042
2688.000000,2688.000000,2688.000000,40.183321
2816.000000,2816.000000,2816.000000,40.271661
2944.000000,2944.000000,2944.000000,42.413645
3072.000000,3072.000000,3072.000000,41.090786
3200.000000,3200.000000,3200.000000,41.423948
3328.000000,3328.000000,3328.000000,41.855406
3456.000000,3456.000000,3456.000000,42.343262
3584.000000,3584.000000,3584.000000,41.782244
3712.000000,3712.000000,3712.000000,42.365285
3840.000000,3840.000000,3840.000000,42.050190
3968.000000,3968.000000,3968.000000,42.710512
4096.000000,4096.000000,4096.000000,42.541276
